Timestamp,Name,Value
11.000959,"IMU Yaw Angle (deg)",-0.0100620645135641
11.011343,"Pressure (psi)",-0.4491392801251983
11.011351,"IMU Yaw Angle (deg)",-0.010914448544383037
11.020138,"Pressure (psi)",-0.4491392801251983
11.020146,"IMU Yaw Angle (deg)",-0.011430215209722509
11.023986,"Pressure (psi)",-0.4491392801251983
11.023999,"IMU Yaw Angle (deg)",-0.011430215209722509
11.030748,"Pressure (psi)",-0.4491392801251983
11.030755,"IMU Yaw Angle (deg)",-0.012247656762599935
11.034254,"Pressure (psi)",-0.4491392801251983
11.034268,"IMU Yaw Angle (deg)",-0.012247656762599935
11.04104,"Pressure (psi)",-0.4491392801251983
11.041047,"IMU Yaw Angle (deg)",-0.012045110285282126
11.046649,"Pressure (psi)",-0.4491392801251983
11.046656,"IMU Yaw Angle (deg)",-0.012045110285282126
11.053651,"Pressure (psi)",-0.4491392801251983
11.053658,"IMU Yaw Angle (deg)",-0.011953144177794446
11.059494,"Pressure (psi)",-0.4491392801251983
11.059501,"IMU Yaw Angle (deg)",-0.01234384573996066
11.063611,"Pressure (psi)",-0.4491392801251983
11.063618,"IMU Yaw Angle (deg)",-0.01234384573996066
11.068121,"Pressure (psi)",-0.4491392801251983
11.068136,"IMU Yaw Angle (deg)",-0.01234384573996066
11.072408,"Pressure (psi)",-0.4491392801251983
11.072416,"IMU Yaw Angle (deg)",-0.012225792065262784
11.080403,"Pressure (psi)",-0.4491392801251983
11.080411,"IMU Yaw Angle (deg)",-0.01207848286628722
11.085916,"Pressure (psi)",-0.4491392801251983
11.08593,"IMU Yaw Angle (deg)",-0.01207848286628722
11.092139,"Pressure (psi)",-0.4491392801251983
11.092146,"IMU Yaw Angle (deg)",-0.012701978981494893
11.096871,"Pressure (psi)",-0.4491392801251983
11.099118,"IMU Yaw Angle (deg)",-0.012701978981494893
11.10442,"Pressure (psi)",-0.4491392801251983
11.104427,"IMU Yaw Angle (deg)",-0.012717182278633107
11.110082,"Pressure (psi)",-0.4491392801251983
11.110542,"IMU Yaw Angle (deg)",-0.012717182278633107
11.128051,"Pressure (psi)",-0.4875000000000007
11.12807,"IMU Yaw Angle (deg)",-0.012775379106402389
11.134688,"Pressure (psi)",-0.4875000000000007
11.134696,"IMU Yaw Angle (deg)",-0.012942701876163474
11.140125,"Pressure (psi)",-0.4875000000000007
11.140132,"IMU Yaw Angle (deg)",-0.012942701876163474
11.148192,"Pressure (psi)",-0.4875000000000007
11.148209,"IMU Yaw Angle (deg)",-0.013067891299724571
11.15278,"Pressure (psi)",-0.4875000000000007
11.152795,"IMU Yaw Angle (deg)",-0.013067891299724571
11.157541,"Pressure (psi)",-0.4875000000000007
11.157551,"IMU Yaw Angle (deg)",-0.013695306926965705
11.166294,"Pressure (psi)",-0.4875000000000007
11.166302,"IMU Yaw Angle (deg)",-0.01415451264381408
11.171264,"Pressure (psi)",-0.4875000000000007
11.171277,"IMU Yaw Angle (deg)",-0.01415451264381408
11.176944,"Pressure (psi)",-0.4875000000000007
11.176952,"IMU Yaw Angle (deg)",-0.014257707014679901
